lmt_yn,nemo_yn,eng100,year,tutorial_yn,mooc_yn,isu_nm,courgrad_cd,cour_cd,rowid,enable,cour_div,term,credit,department,flexible_school_yn,attend_free_yn,flexible_term,flipped_class_yn,absolute_yn,time_room,campus,flexible_to_dt,flexible_fr_dt,prof_nm,waiting_yn,params,cour_nm,dept_cd,cour_cls,drop_lmt_yn,time,apply_dept,exch_cor_yn,no_supervisor_yn,col_cd
Y,N,N,2026,N,N,전공선택,136,DCSS121,1,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,조병진,N,DCSS121@01,프로젝트학기Ⅰ,7428,1,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS121,2,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,한창희,N,DCSS121@02,프로젝트학기Ⅰ,7428,2,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS121,3,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,김명섭,N,DCSS121@03,프로젝트학기Ⅰ,7428,3,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS122,4,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,조병진,N,DCSS122@01,프로젝트학기Ⅱ,7428,1,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS122,5,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,한창희,N,DCSS122@02,프로젝트학기Ⅱ,7428,2,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS122,6,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,김명섭,N,DCSS122@03,프로젝트학기Ⅱ,7428,3,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS123,7,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,조병진,N,DCSS123@01,프로젝트학기Ⅲ,7428,1,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS123,8,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,한창희,N,DCSS123@02,프로젝트학기Ⅲ,7428,2,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS123,9,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,김명섭,N,DCSS123@03,프로젝트학기Ⅲ,7428,3,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS124,10,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,조병진,N,DCSS124@01,프로젝트학기Ⅳ,7428,1,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS124,11,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,한창희,N,DCSS124@02,프로젝트학기Ⅳ,7428,2,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS124,12,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,,세종,,,김명섭,N,DCSS124@03,프로젝트학기Ⅳ,7428,3,N,3(10),,N,N,9999
Y,N,N,2026,N,N,전공필수,136,DCSS201,13,N,11,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,수(2-3) 과학기술2관 324호<br> 금(5) 과학기술2관 324호,세종,,,정인정,N,DCSS201@01,자료구조(영강),7428,1,N,3(3),컴퓨터소프트웨어학과,N,N,9999
Y,N,N,2026,N,N,전공필수,136,DCSS201,14,N,11,1R,3,컴퓨터소프트웨어학과,N,N,0,Y,Y,월(6-7) 과학기술2관 310호<br> 수(2) 과학기술2관 310호,세종,,,조민호,N,DCSS201@02,자료구조(영강),7428,2,N,3(3),컴퓨터소프트웨어학과,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS207,15,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,화(8-9) 과학기술2관 324호<br> 목(6) 과학기술2관 324호,세종,,,정용화,N,DCSS207@00,컴퓨팅사고,7428,0,N,3(3),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS209,16,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,Y,Y,화(6-7) 과학기술2관 315호<br> 목(7-8) 과학기술2관 315호,세종,,,김명섭,N,DCSS209@00,Linux 실습,7428,0,N,3(4),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS210,17,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,화(5-6) 과학기술2관 324호<br> 목(5) 과학기술2관 324호,세종,,,정용화,N,DCSS210@00,컴퓨터구조,7428,0,N,3(3),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS211,18,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,월(2-3) 과학기술2관 315호<br> 목(2-3) 과학기술2관 315호,세종,,,조민호,N,DCSS211@01,IoT 개론,7428,1,N,3(4),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS211,19,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,월(6-7) 농심국제관 108호<br> 목(4-5) 농심국제관 302호,세종,,,민영훈,N,DCSS211@02,IoT 개론,7428,2,N,3(4),미래모빌리티학과,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS213,20,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,월(8-9) 과학기술2관 315호<br> 수(5-6) 과학기술2관 315호,세종,,,서민석,N,DCSS213@01,객체지향프로그래밍및실습(영강),7428,1,N,3(4),컴퓨터소프트웨어학과,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS213,21,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,월(8-9) 과학기술2관 323호<br> 수(5-6) 과학기술2관 323호,세종,,,이종욱,N,DCSS213@02,객체지향프로그래밍및실습,7428,2,N,3(4),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS221,22,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,수(7) 과학기술2관 310호<br> 금(2-3) 과학기술2관 310호,세종,,,정인정,N,DCSS221@00,확률및통계,7428,0,N,3(3),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS222,23,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,월(4-5) 과학기술2관 310호<br> 수(8-9) 과학기술2관 310호,세종,,,임영희,N,DCSS222@00,이산구조및연습,7428,0,N,3(4),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공필수,136,DCSS301,24,N,11,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,수(5-6) 과학기술2관 310호<br> 목(8) 과학기술2관 310호,세종,,,이웅기,N,DCSS301@00,운영체제(영강),7428,0,N,3(3),컴퓨터소프트웨어학과,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS305,25,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,Y,Y,화(3) 과학기술2관 315호<br> 수(2-3) 과학기술2관 223호,세종,,,강신후,N,DCSS305@00,수치해석(영강),7428,0,N,3(3),컴퓨터소프트웨어학과,N,N,9999
Y,N,N,2026,N,N,전공필수,136,DCSS307,26,N,11,1R,3,컴퓨터소프트웨어학과,N,N,0,Y,Y,목(2-3) 과학기술2관 310호<br> 금(1) 과학기술2관 310호,세종,,,조병진,N,DCSS307@00,컴퓨터네트워크(영강),7428,0,N,3(3),컴퓨터소프트웨어학과,N,N,9999
Y,N,N,2026,N,N,전공필수,136,DCSS309,27,N,11,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,화(8-9) 과학기술2관 310호<br> 목(7) 과학기술2관 310호,세종,,,이웅기,N,DCSS309@00,알고리즘(영강),7428,0,N,3(3),컴퓨터소프트웨어학과,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS315,28,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,토,세종,,,서민석,N,DCSS315@00,현장실습Ⅰ,7428,0,Y,3(0),,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS316,29,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,토,세종,,,서민석,N,DCSS316@00,현장실습Ⅱ,7428,0,Y,3(0),,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS317,30,N,10,1R,6,컴퓨터소프트웨어학과,N,N,0,N,N,토,세종,,,서민석,N,DCSS317@00,현장실습Ⅲ,7428,0,Y,6(0),,Y,N,9999
Y,N,N,2026,N,N,전공필수,136,DCSS321,31,N,11,1R,3,컴퓨터소프트웨어학과,N,N,0,Y,Y,화(1-2) 과학기술2관 310호<br> 수(1) 과학기술2관 310호,세종,,,강신후,N,DCSS321@01,전산선형대수학(영강),7428,1,N,3(3),컴퓨터소프트웨어학과,N,N,9999
